,text,major_principle,is_major_principle_here,ethical_us
32,APIs and Interoperable systems that can provide accurate data records from different teriminals and can synchronize efficiently with the ports System,transparency,True,"**Title**: Ensure Transparent Data Synchronization and Interoperability

**Description**: As a developer, I want to design APIs and interoperable systems that provide accurate and transparent data records from different terminals and synchronize efficiently with the ports system. This transparency will allow stakeholders to clearly understand data flows and system interactions, ensuring confidence in the integrity and reliability of the data exchanged."
33,System provides clear and transparent information without any ambiguity at remote terminals and at digital terminals and with people who check in passengers at the port.,transparency,True,"**Title**: Transparent Communication at All Passenger Checkpoints 

**Description**: As an ethical requirement, the system must provide clear and transparent information without any ambiguity to passengers at remote terminals, digital terminals, and through personnel who check them in at the port. This ensures that passengers receive understandable and accurate information, fostering transparency and trust throughout the check-in process."
34,AI integrated into the system that can help identify data patterns for users with special needs and provide necessary information.,justice and equity,True,"**Title**: Ensure Fair Accessibility through AI Integration

**Description**: As a developer, I want to integrate AI into the system to help identify data patterns for users with special needs and provide them with necessary information in a fair and unbiased manner, ensuring that the AI does not discriminate against any group, thereby promoting justice and equity."
35,A clear and well defined HCI system where voice can be used to communicate data consent in line with relevant regulations.,privacy,True,"**Title**: User Consent Through Voice-activated HCI System

**Description**: As a user, I want to communicate my data consent using a clear and well-defined voice-activated Human-Computer Interaction (HCI) system, ensuring that my privacy is protected and my consent aligns with relevant regulations."
36,A centralized data management system with clearly outlined details on access rights and clear logs on users.,transparency,True,"**Title**: Transparent Data Management System Access and Logging

**Description**: As a user, I want a centralized data management system to clearly outline access rights and maintain detailed logs of user activities so that I can understand who has access to data and how it is being used."
37,Booking information does not exclude anyone from the needed identification information and the booking application has the identification information as a mandatory field.,justice and equity,True,"**Title**: Inclusive Identification Requirement for Booking Information

**Description**: As a developer, I want to ensure that the booking application requires identification information as a mandatory field for all users, ensuring that no one is excluded from providing the necessary identification information. This design will promote justice and fairness by treating all users equally and preventing any form of discrimination or exclusion."
38,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",justice and equity,True,"**Title**: Ensure Quality and Fairness of Data Testing

**Description**: As a requirement for ensuring justice and fairness in AI systems, the data must be rigorously tested for quality by examining its performance against different demographic groups including race, gender, and age. Any significant variance in outcomes between these groups should be identified and addressed. Additionally, real-time testing in real-world contexts should be conducted prior to the official launch to ensure equitable performance across diverse populations."
39,"I while shopping in the termina I lost track of time and I need to locate my self in the terminal. Mobile app or feature in terminal enduser app for navigation. System has Opt-in policy. Treminal has tracking points, sensors or QR code to provide tracing of the users movements and provide indor navigation to desired points.",freedom and autonomy,True,"**Title**: Opt-In Indoor Navigation for Lost Shoppers

**Description**: As a user, I want to opt-in to utilize an app that leverages tracking points, sensors, or QR codes within the terminal to help me navigate and locate myself when I lose track of time, ensuring that my autonomy and freedom of choice are respected throughout the process."
40,When auditing is in process system need to provide detailed documentation in every level of system architecture. Also 3rd party components needs to be documented or at least links to those systems documentation needs to Available.,transparency,True,"**Title**: Ensuring Transparency Through Comprehensive Documentation During Audits

**Description**: As an ethical requirement to uphold transparency, the system must provide detailed documentation at every level of its architecture during the auditing process. Additionally, any third-party components used within the system must be documented, or at the very least, links to their respective documentation should be made available. This ensures that all aspects of the system are understandable and traceable, facilitating transparent and thorough audits."
41,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",transparency,True,"**Title**: Ensure Transparent Documentation and Guidelines for New Services

**Description**: As part of introducing a new service into the system, comprehensive process documentation and specifications must be provided. This includes a clear list of acceptable actions, any restrictions on data usage, bandwidth, and the number of API queries. This transparency will ensure that all stakeholders understand the operational boundaries and features of the new service, fostering trust and enabling informed decision-making."
42,System needs to provide user friendly and short description of the traceability features of the service and also provide instructions to take acting to access traceability. System needs also be able to end user notifications on traceability if user wishes,transparency,True,"**Title**: Enhance Traceability Feature Accessibility and Communication

**Description**: As a user, I want the system to offer a user-friendly and concise description of its traceability features, along with clear instructions on how to access these features, to ensure I can easily understand and utilize them. Additionally, the system should provide an option for end-user notifications regarding traceability if the user wishes, maintaining high transparency and effective communication about the traceability process."
43,Smart terminal system need to have API for BI tool so that the service provider can track the service usage.,transparency,True,"**Title**: Ensure Transparent Service Usage Tracking for Service Providers  
**Description**: To promote transparency, the smart terminal system should include an API for the BI tool that allows service providers to track and monitor service usage effectively. This API should provide clear, comprehensive, and easily understandable data regarding the service usage, ensuring that service providers can accurately assess performance and make informed decisions."
44,System should create explicit action log of its actions. The logs should be accessible for Designated personnel and understandable or reliably interpretable for government or other officials who require the logs for a legitimate reason.,transparency,True,"**Title**: Ensure Action Log Transparency

**Description**: As a system user, I want the system to create an explicit action log of its actions, which should be accessible to designated personnel and understandable or reliably interpretable by government or other officials, to ensure transparency and accountability in its operations."
45,Systems identifies users with special need and  has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,beneficence,True,"**Title**: Facilitate Access for Users with Special Needs

**Description**: As a system provider, I want our system to identify users with special needs and inform terminal service providers about the required assistance, as well as track the availability and location of special need aids within the terminal. This ensures that users with special needs receive timely and appropriate help, thereby benefitting them and promoting an inclusive and supportive environment."
46,AI system needs to have a function to generate an explanation for its actions if requested by a system administrator with rights to access the System.,transparency,True,"**Title**: System Explanation Function for Administrators

**Description**: As a system administrator with authorized access, I want the AI system to generate clear explanations for its actions when requested, ensuring transparency and comprehensibility of its operations."
47,Function level documentation needs to be in Place.,transparency,True,"**Title**: Ensure Comprehensive Function Level Documentation

**Description**: As a user or stakeholder, I want comprehensive function-level documentation to be available and accessible, so that the workings and decisions made by the AI system are transparent and easily understandable. This will help in building trust and allow for better oversight and accountability."
48,"System needs to be tested with given number of versatile use cases and not only obvious use cases with acceptable results. Also, those cases that would be possible but not testes should be clary stated.",trust,True,"**Title**: Comprehensive and Transparent System Testing

**Description**: As a system developer, I want to ensure that the system is tested with a wide range of versatile use cases, not just the obvious ones, to build and maintain trust with users. Additionally, I will clearly document and communicate the use cases that were not tested but could be possible, ensuring transparency and fostering user trust in the system's reliability and thoroughness."
49,"When planning my budget for freighting my  goods, i would like clear information on the different pricing options (aggregated prices) maybe in an app, sites or displayboards at the terminal to help me plan my budget effectively.",transparency,True,"**Title**: Transparent Freight Pricing Information 

**Description**: As a user planning my budget for freighting my goods, I need clear and accessible information about different pricing options—whether through an app, websites, or display boards at the terminal—to enable effective and informed budget planning."
50,clear and well defined pricing criteria such as pricing analysis for customers on the system.,transparency,True,"**Title**: Transparent Pricing Criteria for Customers

**Description**: As a customer, I want the system to provide clear and well-defined pricing criteria, including a detailed pricing analysis, so that I can understand how prices are determined and make informed purchasing decisions."
51,"When making inquiries as a customer, are there  pointers to say you are communicating with a virtual assistant and is there provision for a human assistant where possible?",transparency,True,"**Title**: Indication of Virtual Assistant Interaction

**Description**: As a customer, I should be clearly informed when I am communicating with a virtual assistant to ensure transparency. Additionally, there should be an option to switch to a human assistant where possible to maintain clear and honest communication about the nature of the interaction."
52,When asked system documentation need to have description on what kind of data and from where was used to teach the system. Data set with out clear description should not be used.,transparency,True,"**Title**: Detailed Documentation of AI Training Data

**Description**: As a user, I need the system documentation to include a clear description of the types of data used and their sources for training the AI, ensuring that datasets lacking clear descriptions are excluded. This contributes to the transparency of the AI technology by allowing users to understand the origins and nature of the data used, fostering trust and accountability."
53,In service critical or human relating features only explainable AI/ML solutions are used. When requested the system can provide reasoning behind given result.,transparency,True,"**Title**: Explainable AI for Critical and Human-Centric Systems

**Description**: As a user, I want to ensure that AI/ML solutions used in service-critical or human-related features are explainable, so that I can understand the reasoning behind the results when requested, promoting transparency and trust in the system."
54,"When prompted by passengers, the system should be able to provide information requested, eg customer asking for summary on a trip should be able to get one from the system.",transparency,True,"**Title**: Provide Clear and Comprehensive Information to Passengers

**Description**: As a user, I want the system to transparently provide accurate and understandable information about my trip, such as a summary, when requested, ensuring that I am fully informed about the details and processes affecting my travel experience."
55,"Before implementation, there should be a way to verify that the system is following the best practices and aligned with required legal Standards.",responsibility,True,"**Title**: Ensure Verification of Compliance with Best Practices and Legal Standards

**Description**: As a responsible developer, I want to implement a verification mechanism before rolling out the system, ensuring that it aligns with best practices and adheres to required legal standards, so that we maintain accountability and uphold our integrity."
56,A detailed document explaining the extent of the system's data use should be prepared and available to customers upon request.,transparency,True,"**Title**: Ensure Transparency through Detailed Data Use Documentation

**Description**: As a system provider, I want to prepare a detailed document explaining the extent of the system's data use, so that it is available to customers upon request, ensuring transparency in how their data is managed."
57,The user is offered an easy to read statement of data privacy policies excercised with the terminal services for the services she is using (off the app) . She can opt in and out of data collection not necessary for my need of services.,transparency,True,"**Title**: Clear Data Privacy Policies and Opt-In/Out Options

**Description**: As a user, I want to be provided with an easy-to-read statement of the data privacy policies related to the terminal services I am using, so that I can understand how my data is being collected and utilized. Additionally, I want to have the ability to opt in and out of data collection practices that are not necessary for the essential services I am using, ensuring transparency in data handling practices."
58,System provides Data collection description and  Data restrictions. Relevant contact information. Way to notify errors,transparency,True,"**Title**: Ensure Transparency in Data Collection and Usage

**Description**: The system must provide clear and comprehensive information about data collection processes, data usage restrictions, and relevant contact information for inquiries. Additionally, the system should offer an accessible way for users to report errors or inconsistencies, ensuring transparency and fostering trust."
59,"Clear security communication to passengers who intend to use the terminal services, about what data is collected and how it is used.",transparency,True,"**Title**: Transparent Security Communication to Passengers

**Description**: As an airport authority, we want to clearly communicate to passengers who intend to use the terminal services about what data is collected and how it is used, ensuring that the information is easily understandable and accessible, so that passengers are fully aware and informed about the security processes and their data usage."
60,Video recordings and such unanonymized identifying data are only available to few certified people,privacy,True,"**Title**: Controlled Access to Identifying Data

**Description**: As a system administrator, I want video recordings and other unanonymized identifying data to be accessible only to a select group of certified personnel, ensuring the privacy of individuals' personal data is protected and unauthorized access is prevented."
61,"A register of personal data processing activities and their justification (basis for processing) is created, all involved parties are identified and this register is maintained and made available for needing parties.",responsibility,True,"**Title**: Maintain and Transparently Share Data Processing Register

**Description**: As a responsible AI organization, we will create, maintain, and share a detailed register of personal data processing activities. This register will include justifications for processing, identification of all involved parties, and will be readily available to parties with legitimate needs. This ensures accountability, transparency, and integrity by making the data processing activities clear and accessible."
62,"The data privacy notice is made available to the passenger (via the app she is using), which provides the purposes the personal data is used For.",transparency,True,"**Title**: Provide Data Privacy Notice to Passengers

**Description**: As a passenger using the app, I want to receive a clear and comprehensive data privacy notice that outlines the purposes for which my personal data is used, so that I can have transparency about how my information will be handled."
63,Use case coordinator has detailed plan of the  systems and components contributing to the smart terminal system and also disclosure from those parties if they need GDPR clearances.,responsibility,True,"**Title**: Comprehensive Coordination and GDPR Compliance in Smart Terminal Systems

**Description**: As a use case coordinator, I need to have a detailed plan of systems and components contributing to the smart terminal system, including disclosures from those parties regarding the necessity of GDPR clearances, to ensure responsible management, accountability, and adherence to data protection regulations."
64,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",freedom and autonomy,True,"**Title**: User-Controlled Data Processing for Value-Added Services

**Description**: As a passenger using the value-add application, I want to know which data processing activities are necessary for the basic and added value services I consider using. This way, I can make an informed decision to opt in or out of these services based on the data processed. Additionally, I want the application to respect my choices for data handling (e.g., anonymize, delete, or make available for transfer/download), ensuring my freedom and autonomy over my personal data."
65,Data statements need to be available and also  descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,transparency,True,"**Title**: Transparency in Data Usage and Service Options

**Description**: Provide clear and accessible information for users regarding data statements, including detailed descriptions of optional services and instructions on how to opt-out. Additionally, ensure that there is a transparent explanation of which parts of the system are mandatory (e.g., used by harbor officials) and not subject to opt-out to enhance user understanding and build trust."
66,System architecture needs to be draw and it needs to be shareable with relevant stakeholders. Possible security issues relating to architecture information sharing needs to be Mitigated.,transparency,True,"**Title**: Transparent Sharing of System Architecture

**Description**: Ensure that the system architecture is clearly drawn and made shareable with relevant stakeholders, enhancing transparency. At the same time, implement measures to mitigate possible security issues related to the sharing of architecture information, maintaining a balance between openness and protection."
67,The system can notify users on their tickets and display boards that data being collected are used in line with GDPR. Also regular tesing and security checks to ensure that customer data are not being jeopardized.,transparency,True,"**Title**: Ensure Transparency in Data Collection and Security Notifications

**Description**: As a responsible organisation, we will notify users on their tickets and display boards that their data is being collected and used in accordance with GDPR. Additionally, we will conduct regular testing and security checks to ensure that customer data is not being jeopardized, thereby promoting transparency in our data practices."
68,Other forms of biometrics such as iris or finger print recognition as an alternative to facial Recogniton.,privacy,True,"**Title**: Alternative Biometric Options for Enhanced Privacy

**Description**: As a system designer, I want to provide alternative biometric options such as iris or fingerprint recognition in addition to facial recognition, so that users can have more control over their personal data and choose the method they are most comfortable with, thereby enhancing their privacy."
69,"A regular testing protocol should be in place, to ensure the security of the system and protect against threats. The system should be kept updated and its resilience tested in regular Intervals.",trust,True,"**Title**: Regular Security Testing and System Updates for Trust

**Description**: To maintain and build trust, we must establish a regular testing protocol to ensure the security of the system and protect against potential threats. The system will be kept updated, and its resilience will be tested at regular intervals, guaranteeing that our technology remains secure and effective."
70,Protocols for verifying that the system collects data accurately should be in place. The data accuracy and quality should be evaluated on a regular basis.,trust,True,"**Title**: Ensuring Data Accuracy and Quality for Trust

**Description**: Implement robust protocols for verifying that the system collects data accurately and consistently. Regularly evaluate the data accuracy and quality to ensure that the information is reliable, fostering trust among users in the system's performance and integrity."
71,Ensure that channels used for data collection document processes to aid accuracy.,transparency,True,"**Title**: Document and Communicate Data Collection Processes

**Description**: As an ethical AI developer, I want to ensure that all channels used for data collection thoroughly document their processes so that the data's accuracy can be clearly communicated and understood. This transparency helps build trust and ensures that stakeholders are aware of and can validate the methods used for data collection."
72,Secure APIs to help enable the process and open data sources.,trust,True,"**Title**: Ensure Secure APIs for Open Data Sources

**Description**: As a developer, I want to ensure that the APIs enabling processes and providing access to open data sources are secure, so that users can trust that their data interactions and personal information are protected from unauthorized access and breaches. This will build trust in the reliability and safety of the system."
73,Documentation and logs of data sources for Traceability.,transparency,True,"**Title**: Ensure Documentation and Logging of Data Sources for Traceability

**Description**: As a responsible AI development team, we must diligently document and log all data sources used during the development and deployment of our AI system. This ensures that our processes are transparent, allowing stakeholders and users to trace back and verify the origins and integrity of the data, thereby fostering trust and maintain accountability."
74,relevant Data sources (APIs) are open for data analyst from the system and not just generic Data.,transparency,True,"**Title**: Open Access to Specific Data Sources for Data Analysts

**Description**: Ensure that data sources, specifically APIs, are open and accessible to data analysts, providing transparency and enabling a clearer understanding of the data being utilized within the system, rather than just providing generic data."
75,The system follows regulations on data privacy and ensures that data access is granted only to relevant personnel.,privacy,True,"**Title**: Safeguarding Data Privacy and Access Control
**Description**: As a user, I want the system to strictly follow data privacy regulations and ensure that only relevant personnel have access to my data, so my personal information is protected and my privacy is maintained."
76,"Passengers can be notified by the system at collection points such as on remote terminals, or if they use apps at point of feeding their data why their data is being collected.",transparency,True,"**Title**: Transparent Data Collection Notification for Passengers

**Description**: As a passenger using remote terminals or apps, I want to be notified by the system at collection points about the reasons for collecting my data, so that I can have a clear understanding of the purpose and use of my personal information."
