,text,major_principle,is_major_principle_here,ethical_us,correct
31,APIs and Interoperable systems that can provide accurate data records from different teriminals and can synchronize efficiently with the ports System,transparency,True,"As a **port system administrator**, I want to **access APIs and interoperable systems that provide accurate data records from different terminals and synchronize efficiently with the port's system** so that **I can ensure transparency in data handling and communication across all operational platforms.**",True
32,System provides clear and transparent information without any ambiguity at remote terminals and at digital terminals and with people who check in passengers at the port.,transparency,True,"As a passenger, I want to receive clear and transparent information at remote terminals, digital terminals, and from staff when checking in at the port so that I can make informed decisions and have a seamless travel experience without confusion.",True
33,AI integrated into the system that can help identify data patterns for users with special needs and provide necessary information.,justice and equity,True,"As a user with special needs, I want an AI-integrated system to help identify data patterns and provide necessary information so that I can have equal access to insights and opportunities tailored to my specific requirements.",True
34,A clear and well defined HCI system where voice can be used to communicate data consent in line with relevant regulations.,privacy,True,"As a user, I want to use my voice to communicate data consent in a clear and well-defined HCI system so that my personal data privacy is respected and aligned with relevant regulations.",True
35,A centralized data management system with clearly outlined details on access rights and clear logs on users.,transparency,True,"As a **data administrator**, I want to **have a centralized data management system with clearly outlined details on access rights and clear logs on users** so that **the system ensures transparency in data access and management activities**.",True
36,Booking information does not exclude anyone from the needed identification information and the booking application has the identification information as a mandatory field.,justice and equity,True,"As an **ethical developer**, I want to **ensure that booking information does not exclude anyone from the needed identification information and that the booking application has the identification information as a mandatory field** so that **all users are treated fairly and equally, and no one is discriminated against in the booking process**.",True
37,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",justice and equity,True,"As a **user from any demographic group**, I want the AI system to be tested for quality across race, gender, and age and to ensure variance between groups is not significant **so that** I can trust that the system delivers fair and unbiased results for everyone. ",True
38,"I while shopping in the termina I lost track of time and I need to locate my self in the terminal. Mobile app or feature in terminal enduser app for navigation. System has Opt-in policy. Treminal has tracking points, sensors or QR code to provide tracing of the users movements and provide indor navigation to desired points.",freedom and autonomy,True,"As a traveler, I want to opt-in to use a mobile app for indoor navigation in the terminal so that I can locate myself and navigate to desired points without losing my autonomy.",True
39,When auditing is in process system need to provide detailed documentation in every level of system architecture. Also 3rd party components needs to be documented or at least links to those systems documentation needs to Available.,transparency,True,"As an auditor, I want the system to provide detailed documentation at every level of the system architecture, including documentation or links for third-party components, so that I can ensure transparency and thoroughly understand the system's operations during the auditing process.",True
40,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",transparency,True,"As a **system integrator**, I want to **access detailed process documentation and specifications for new services joining the system, including a list of acceptable actions** so that **I can ensure compliance with restrictions on data usage, bandwidth, and the number of API queries, thereby maintaining system integrity and transparency.**",True
41,System needs to provide user friendly and short description of the traceability features of the service and also provide instructions to take acting to access traceability. System needs also be able to end user notifications on traceability if user wishes,transparency,True,"As a **user**, I want to **receive a user-friendly and concise description of the traceability features of the service and clear instructions on how to access these features**, so that **I can fully understand and easily access the traceability information to make informed decisions**.",True
42,Smart terminal system need to have API for BI tool so that the service provider can track the service usage.,transparency,True,"As a **service provider**, I want to **have an API for the BI tool** so that **I can track and understand the service usage clearly and communicate this data openly with stakeholders**.",True
43,System should create explicit action log of its actions. The logs should be accessible for Designated personnel and understandable or reliably interpretable for government or other officials who require the logs for a legitimate reason.,transparency,True,"As a **compliance officer**, I want to **access and interpret explicit action logs of the system’s actions** so that **government officials and other designated personnel can review them for legitimate reasons with a clear understanding of the system’s activities**.",True
44,Systems identifies users with special need and  has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,beneficence,True,"As a **user with special needs**, I want the system to identify my special requirements and inform the terminal service provider of the required help so that I can receive the necessary assistance promptly and navigate the terminal safely and comfortably.",True
45,AI system needs to have a function to generate an explanation for its actions if requested by a system administrator with rights to access the System.,transparency,True,"As a system administrator, I want the AI system to generate an explanation for its actions when requested so that I can ensure transparency and understandability in the AI’s decision-making processes.",True
46,Function level documentation needs to be in Place.,transparency,True,"As a **user**, I want to **access detailed function-level documentation** so that **I can understand how the AI system operates and ensure it aligns with ethical standards of transparency**.",True
47,"System needs to be tested with given number of versatile use cases and not only obvious use cases with acceptable results. Also, those cases that would be possible but not testes should be clary stated.",trust,True,"As a **user**, I want the system to be tested with a variety of versatile use cases and not just obvious scenarios, with clear documentation of untested yet possible cases, **so that** I can trust that the system will operate effectively and securely in real-world conditions and understand any potential limitations.",True
48,"When planning my budget for freighting my  goods, i would like clear information on the different pricing options (aggregated prices) maybe in an app, sites or displayboards at the terminal to help me plan my budget effectively.",transparency,True,"As a logistics manager, I want clear and transparent information on the different pricing options for freighting my goods, so that I can plan my budget effectively.",True
49,clear and well defined pricing criteria such as pricing analysis for customers on the system.,transparency,True,"As a **customer**, I want to understand the clear and well-defined pricing criteria used in the system so that I can make informed decisions and trust that the pricing is fair and transparent.",True
50,"When making inquiries as a customer, are there  pointers to say you are communicating with a virtual assistant and is there provision for a human assistant where possible?",transparency,True,"As a customer, I want clear indicators that I am communicating with a virtual assistant and the option to interact with a human assistant where possible so that I can make informed decisions and understand who I’m interacting with.",True
51,When asked system documentation need to have description on what kind of data and from where was used to teach the system. Data set with out clear description should not be used.,transparency,True,"As a **data scientist**, I want **system documentation to have a description of what kind of data and from where it was used to train the system** so that **I can ensure the data sets are clearly described and maintain transparency in the AI development process**.",True
52,In service critical or human relating features only explainable AI/ML solutions are used. When requested the system can provide reasoning behind given result.,transparency,True,"As a **user impacted by critical or human-relating features**, I want to **access an explainable AI/ML solution that provides reasoning behind any given result when requested** so that **I can understand and trust the decision-making process of the system**.",True
53,"When prompted by passengers, the system should be able to provide information requested, eg customer asking for summary on a trip should be able to get one from the system.",transparency,True,"As a passenger, I want to receive clear and understandable information about my trip when I ask for it so that I know how the system operates and can make informed decisions based on the provided information.",True
54,"Before implementation, there should be a way to verify that the system is following the best practices and aligned with required legal Standards.",responsibility,True,"As a compliance officer, I want to verify that the system is following best practices and aligned with required legal standards so that we ensure responsible development and use of the AI system.",True
55,A detailed document explaining the extent of the system's data use should be prepared and available to customers upon request.,transparency,True,"As a **customer**, I want to **access a detailed document explaining the extent of the system's data use** so that **I can understand how my data is being utilized and maintained**.",True
56,The user is offered an easy to read statement of data privacy policies excercised with the terminal services for the services she is using (off the app) . She can opt in and out of data collection not necessary for my need of services.,transparency,True,As a **user** I want to **be provided with an easy-to-read statement of data privacy policies exercised with the terminal services for the services I am using** so that **I can understand how my data is being used and make informed decisions about opting in or out of data collection not necessary for my need of services.**,True
57,System provides Data collection description and  Data restrictions. Relevant contact information. Way to notify errors,transparency,True,"As a **user**, I want to **access detailed descriptions of the system's data collection practices, data use restrictions, relevant contact information, and ways to report errors** so that **I can understand how my data is being used and ensure transparency in the AI system's operations**.",True
58,"Clear security communication to passengers who intend to use the terminal services, about what data is collected and how it is used.",transparency,True,"As a **passenger intending to use terminal services**, I want to **receive clear communication about the security measures, including what data is collected and how it is used** so that **I can make an informed decision and feel confident that my data is being handled transparently and responsibly**.",True
59,Video recordings and such unanonymized identifying data are only available to few certified people,privacy,True,"As a **data privacy officer**, I want to **ensure that video recordings and other unanonymized identifying data are only accessible to a few certified individuals** so that **we protect individuals' privacy and comply with data protection regulations**.",True
60,"The data privacy notice is made available to the passenger (via the app she is using), which provides the purposes the personal data is used For.",transparency,True,"As a **passenger using the app**, I want to **access the data privacy notice that details the purposes for which my personal data is used** so that **I am fully informed and understand how my information is being handled and can make informed decisions about my privacy.**",True
61,Use case coordinator has detailed plan of the  systems and components contributing to the smart terminal system and also disclosure from those parties if they need GDPR clearances.,responsibility,True,"As a **Use Case Coordinator**, I want to **have a detailed plan of all the systems and components contributing to the smart terminal system and disclosures from those parties regarding their GDPR clearances** so that **I can ensure accountability, compliance with data protection regulations, and integrity in the development and deployment of the smart terminal system**.",True
62,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",freedom and autonomy,True,"As a passenger, I want to understand which data processing activities are necessary for each basic or added value service I am considering using, so that I can opt in or out of the service based on the data processed and ensure my freedom and autonomy in managing my personal information.",True
63,Data statements need to be available and also  descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,transparency,True,"As a **system user**, I want to **access clear and detailed data statements and service descriptions, including which services are optional and how to opt-out, alongside an explanation of which parts of the system are used by harbor officials and cannot be opted out of**, so that **I can make informed decisions and understand the extent of my interactions with the system**.",True
64,System architecture needs to be draw and it needs to be shareable with relevant stakeholders. Possible security issues relating to architecture information sharing needs to be Mitigated.,transparency,True,"As a systems architect, I want to draw and share the system architecture with relevant stakeholders in a secure manner so that transparency is maintained, and security issues are mitigated.",True
65,The system can notify users on their tickets and display boards that data being collected are used in line with GDPR. Also regular tesing and security checks to ensure that customer data are not being jeopardized.,transparency,True,"As a **user**, I want to be notified on my tickets and display boards that data being collected is used in line with GDPR, so that I can be assured my personal information is handled transparently and ethically.",True
66,Other forms of biometrics such as iris or finger print recognition as an alternative to facial Recogniton.,privacy,True,"As a system user, I want to have the option to use other forms of biometrics such as iris or fingerprint recognition as an alternative to facial recognition so that my personal privacy is better protected.",True
67,"A regular testing protocol should be in place, to ensure the security of the system and protect against threats. The system should be kept updated and its resilience tested in regular Intervals.",trust,True,"As a system administrator, I want to implement a regular testing protocol to ensure the security of the system and protect against threats, so that users can trust that their data and interactions with the system remain secure and effective.",True
68,Protocols for verifying that the system collects data accurately should be in place. The data accuracy and quality should be evaluated on a regular basis.,trust,True,"As a data engineer, I want to establish protocols for verifying that the system collects data accurately and evaluate data accuracy and quality on a regular basis so that users can trust the reliability and integrity of the data provided by the system.",True
69,Ensure that channels used for data collection document processes to aid accuracy.,transparency,True,"As a **data analyst**, I want to **ensure that channels used for data collection document processes to aid accuracy** so that **the data collected is reliable and stakeholders can understand how the data was gathered and processed**.",True
70,Secure APIs to help enable the process and open data sources.,trust,True,"As a **data scientist**, I want to **have secure APIs to access open data sources** so that **I can trust that the data I work with and provide is protected from unauthorized access and tampering, ensuring its integrity and security**.",True
71,Documentation and logs of data sources for Traceability.,transparency,True,"As a data analyst, I want to document and log data sources for traceability so that I can ensure transparency and provide clear, understandable information about data origins and usage.",True
72,relevant Data sources (APIs) are open for data analyst from the system and not just generic Data.,transparency,True,"As a data analyst, I want to access the relevant data sources (APIs) from the system, not just generic data, so that I can conduct transparent and comprehensive data analysis.",True
73,The system follows regulations on data privacy and ensures that data access is granted only to relevant personnel.,privacy,True,"As a **data custodian**, I want to **ensure that data access is granted only to relevant personnel** so that **individuals' privacy is protected and regulatory compliance is maintained**.",True
74,"Passengers can be notified by the system at collection points such as on remote terminals, or if they use apps at point of feeding their data why their data is being collected.",transparency,True,"As a **passenger**, I want to **be notified by the system at collection points or through apps about why my data is being collected** so that **I can understand the purpose and use of my personal information.**",True
75,Regular data checks embedded in system to notify appropriate personnel on lifecycle of data to ensure conformity to regulations.,trust,True,"As a **data compliance officer**, I want to **receive regular notifications about the lifecycle of data** so that **I can ensure conformity to regulations and maintain organizational trust**.",True
76,"System is continuously monitored for vulnerabilities. Penetration tests have been conducted, and new ones are conducted as Needed.",trust,True,"As a **system administrator**, I want to **ensure the system is continuously monitored for vulnerabilities and conduct penetration tests as needed** so that **users can trust that their data and interactions are secure and the system remains reliable**.",True
77,The extent of necessary human oversight has been determined. The employees in charge of overseeing the process have been appointed.,responsibility,True,"As an AI project manager, I want to determine the extent of necessary human oversight and appoint the employees in charge of overseeing the process so that the development and deployment of AI systems are conducted responsibly, ensuring accountability and integrity throughout the lifecycle of the project.",True
78,Systems have been integrated successfully.,trust,True,"As a **system administrator**, I want to **verify that systems have been integrated successfully** so that **users can trust the reliability and performance of the integrated system**.",True
79,"To protect against data pollution, e.g., disable the system from learning in use (offline). This is an on-going issue where solutions are evolving right now, and various measures should be Considered.",responsibility,True,"As a data steward, I want to disable the system from learning in use (offline) so that we can protect against data pollution and ensure responsible handling of data.",True
80,Detailed security plan from architecture level to single system feature level is drawn and mitigation plan is in action,responsibility,True,"As a security engineer, I want to draw a detailed security plan from the architecture level to a single system feature level and implement a mitigation plan so that our system maintains high levels of integrity and accountability throughout its development and use.",True
81,"An action protocol should be prepared for the occasion of a successful security breach. The system should be tested and kept as invulnerable as possible, but the staff should also be trained to take action to minimize damage in case of a successful attack on the System.",responsibility,True,"As an organization’s security officer, I want to prepare and maintain an action protocol and train the staff for potential successful security breaches so that we can effectively minimize damage and uphold our responsibility to protect stakeholders from harm.",True
82,People flow management related systems and hardware specific security risk are recognized mitigated. Possibility of system failure scenarios tested and possible physical harm from these failures consider. Backup plan ready for full system failure.,responsibility,True,"As a **facility manager**, I want to **ensure that all people flow management systems and related hardware have specific security risks recognized, mitigated, and tested for potential failure scenarios** so that **we can prevent possible physical harm and have a reliable backup plan ready for full system failure, ensuring the safety and security of everyone in the facility.**",True
83,Understandable description what AI system does and don’t do described for people working along side the system. Insides of the people working along side of these systems heard and involved in the design.,transparency,True,"As a staff member working alongside the AI system, I want an understandable description of what the AI system does and doesn't do, so that I can effectively cooperate with the system and ensure clarity in our joint tasks. Additionally, I want my insights to be heard and incorporated into the design process, so that the AI system reflects the practical realities and needs of my work environment.",True
84,"All the digitalized aspects of border control need to be trained for as many exceptional or rare cases as possible, and a human officer should monitor the digitalized border control.",trust,True,"As a border control officer, I want the digitalized aspects of border control to be trained for as many exceptional or rare cases as possible and allow for human officer monitoring, so that travelers can trust that border processes are accurate, effective, and fair under all circumstances.",True
85,A function that alerts the chief security officer when something unusual happens in the system and someone accesses it from an atypical source.,trust,True,"As a **Chief Security Officer**, I want to **receive alerts when unusual activities or accesses from atypical sources occur in the system** so that **I can take immediate action to maintain trust and ensure the system's security and integrity**.",True
86,"Cyber security of the system should be varified by testing by multiple professional parties, not just one.",trust,True,"As a security auditor, I want to have the system's cybersecurity verified by testing from multiple professional parties, not just one, so that trust can be established through comprehensive and unbiased validation.",True
87,"A regular testing protocol should be in place, to ensure the security of the system and protect against threats. The system should be kept updated and its resilience tested in regular Intervals.",transparency,True,"As an **informed user**, I want the system to undergo regular testing and updates, so that I can understand and trust that the system is secure and resilient against threats.",True
88,Privacy plan should be placed in the internet page and linked to social media for everyone to see clearly.,transparency,True,"As a **concerned citizen**, I want to **view the privacy plan on the internet page and have it linked to social media** so that **I can clearly understand how my personal data will be handled and ensure the organization is transparent in its practices**.",True
89,System should have Help line number to call or help button in an app in the system so that responsible parties can either fix the problem or provide alternative assistance.,beneficence,True,"As a user, I want to have access to a help line number to call or a help button in the app so that responsible parties can fix the problem or provide alternative assistance, ensuring my well-being and the effective use of the system.",True
90,"Authentication measures for human oversight determined (e.g., physical access). Override/oversight measures tested for vulnerabilities and considered from cybersecurity perspective.",trust,True,"As a **security officer**, I want to **implement and rigorously test authentication and human oversight measures for potential vulnerabilities** so that **trust in our system's cybersecurity mechanisms is maintained and users feel confident that their data and operations are secure**.",True
91,"The passenger must be presented with any physical safety concerns of the system, analyzed and provided with assurance that no risk exist or some estimaton on the risk. (E.g. system might be exploited to track some imporant person's movements and plan physical assault on her or track peaks in terminal usage to plan terrorist activities for maximum damage). Such a estimation/statement could be provided as a pop-up or part of info page /FAQ.",non-maleficence,True,"As a **passenger**, I want to **be informed about any physical safety concerns related to the system** so that **I can be assured that no risk exists or understand the level of risk involved, ensuring my personal safety.**",True
92,"Employees have been trained to a) understand the system as a whole, b) understand the new processes, c) understand in detail the parts of the system they are actively working with, and (if relevant), d) operate any parts of the system they may need to (if not normally, then perhaps in case of unforeseen issues).",responsibility,True,"As an employee, I want to be thoroughly trained to understand the system as a whole, understand new processes, and have detailed knowledge of the parts of the system I am working with, so that I can responsibly operate any necessary parts of the system, including handling unforeseen issues, thereby ensuring the accountable and reliable functioning of the system.",True
93,The number of employees that need to be present to take over in case of any unforeseen issues has been determined. The relevant employees have been instructed how to take over in case any part of the process automation Fails.,responsibility,True,"As an **operations manager**, I want to **ensure there are designated employees trained and prepared to take over in the case of unforeseen issues or process automation failures** so that **we can maintain continuity and demonstrate accountability in managing the system effectively**.",True
94,The system does not allow access to any vulnerable parts of the system to unauthorized Personnel.,trust,True,"As a system administrator, I want to ensure that the system does not allow access to any vulnerable parts to unauthorized personnel so that the system integrity is maintained and users can trust that their data and operations are secure.",True
95,"The system is clear and intuitive to use, and leaves as little as possible for interpretation. It will not offer possibilities for passengers to do a wrong, dangerous or forbidden thing.",non-maleficence,True,"As a passenger, I want the system to be clear and intuitive to use so that I do not accidentally do anything wrong, dangerous, or forbidden.",True
96,"Human oversight procedures determined (e.g. when/how an employee can take control of the system or its tasks, or even shut it down).",responsibility,True,"As a system operator, I want to have clear human oversight procedures and controls in place so that I can take control of the system or its tasks, or even shut it down when necessary, ensuring responsible and ethical use of the AI.",True
97,Intended system use clearly defined so that misuse can be determined. Expected outcomes/outputs determined for each process  employees should know how to expect the system to behave so they can determine if something is off. Human oversight procedures determined (e.g. when/how an employee can take control of the system or even shut it down).,responsibility,True,"As an employee, I want the intended system use to be clearly defined, and the expected outcomes/outputs determined for each process so that I can understand how the system is supposed to behave and identify any misuse or irregularities. Additionally, I want human oversight procedures to be established (e.g. when/how I can take control of the system or even shut it down) so that I can act responsibly and ensure the system operates correctly and safely.",True
98,Documentation that clarifies the assigned responsible person for each part of the system.,responsibility,True,"As a project manager, I want the documentation to clearly state the responsible person for each part of the system so that accountability and clear lines of responsibility are maintained throughout the project.",True
99,User and feasibility studies done for the planned system. Testing and scenarios before building. Feasible places for system automation Recognized.,transparency,True,"As a project manager, I want to ensure user and feasibility studies are done for the planned system, including testing and scenario analysis before building, so that I can maintain transparency in the development process and ensure that stakeholders are well-informed and confident in the system's feasibility and automation possibilities.",True
