,text,major_principle,second_major_principle,third_major_principle,ethical_us
24,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",privacy,non-maleficence,transparency,"**Title**: Secure and Safe Interaction with Smart Vehicles

**Description**: As a user of the terminal, I want the interaction with smart vehicles to be conducted in a way that ensures the safety of both parties is not compromised. Additionally, there should be clear restrictions on what data is shared and the permissions granted for information exchange to protect privacy.

**Ethical principles used**: Privacy, Non-maleficence"
25,Smart harborfollows a protocol on traditional cars and a smart vehicles when developing the flow of events from harbor entering to entering to the ship.,justice and equity,transparency,freedom and autonomy,"**Title**: Ensure Fairness and Transparency in Harbor Vehicle Protocols

**Description**: As a requirements engineer, I want Smart Harbor to develop a standardized and transparent protocol for both traditional cars and smart vehicles when managing the flow of events from harbor entry to ship entry to ensure fairness and equitable treatment regardless of the type of vehicle.

**Ethical principles used**: Justice and fairness, Transparency"
26,Boarding pass on cars are shared with instructions for different vehicles.,transparency,beneficence,non-maleficence,"**Title**: Transparent and Beneficial Sharing of Boarding Pass and Instructions for Different Vehicles

**Description**: As a user of the boarding pass system, I want the process of sharing boarding passes and vehicle-specific instructions to be transparent and clearly communicated, ensuring that I understand how to use them across different vehicles, so that I can efficiently and safely manage my travel.

**Ethical principles used**: Transparency, Beneficence"
27,The system can provide a standby system in place should the traffic lights fail or a human traffic warden that will help direct traffic for ship loading and unloading.,responsibility,trust,non-maleficence,"**Title**: Implement Standby Traffic Management System for Ship Loading/Unloading Operations

**Description**: As a port administrator, I want the system to have a standby traffic management solution in place, which can be either an automated backup system or a human traffic warden, to manage traffic efficiently during the loading and unloading of ships in case the primary traffic lights fail. This ensures continuous and reliable operation, maintaining safety and minimizing disruptions.

**Ethical principles used**: Responsibility, Trust"
28,Digital scanners that synchronize passenger information with regulations such as alcohol limits that can be brought in and to ensure that drunk or underage passengers are not driving.,non-maleficence,beneficence,privacy,"**Title**: Ensuring Safe and Responsible Passenger Screening

**Description**: Implement digital scanners that sync passenger information with relevant regulations, such as alcohol limits and age verification, to ensure that drunk or underage individuals are not driving. This system aims to prevent potential harm to passengers and the public while promoting a safer transportation environment.

**Ethical principles used**: Non-maleficence, Beneficence"
29,The system can provide a standby system in place should the traffic lights fail or a human traffic warden that will help direct traffic for ship loading and unloading.,non-maleficence,responsibility,transparency,"**Title**: Ensure Fail-Safe Mechanism for Traffic Management System

**Description**: As a responsible AI-system developer, I want to implement a standby system for traffic management that includes either an automatic fail-safe mechanism or a human traffic warden, to ensure the safety and continuous flow of traffic during ship loading and unloading operations in case the primary traffic light system fails.

**Ethical principles used**: Non-maleficence, Responsibility"
30,"Regular digital or even manual information system checks with prompts informing on current updates such as parking information, duration of parking, etc.",transparency,trust,privacy,"**Title**: Ensure Transparent and Trustworthy Information Updates for Parking System

**Description**: As a user of the parking system, I need regular digital or manual information checks with clear and prompt updates on current parking information, including duration of parking, available spots, and any changes in policies or fees. This information should be easily accessible and reliable so that I can make informed decisions and trust the system's accuracy.

**Ethical principles used**: Transparency, Trust"
31,Digital verification devices such as number plate scanners for vehicles to ensure that vehicle is authentic and in line with regulations and biometic scanner for human passengers.,trust,responsibility,beneficence,"**Title**: Ethical Implementation of Digital Verification Devices

**Description**: As a system designer, I want to ensure that digital verification devices, such as number plate scanners for vehicles and biometric scanners for human passengers, are implemented responsibly. This includes securing passenger data, maintaining system integrity, and ensuring the technology is trustworthy, in order to provide reliable and secure verification while protecting users' privacy and upholding ethical standards.

**Ethical principles used**: Trust, Responsibility"
32,APIs and Interoperable systems that can provide accurate data records from different teriminals and can synchronize efficiently with the ports System,transparency,trust,responsibility,"**Title**: Interoperable and Transparent Data Synchronization for Port Systems

**Description**: As a port system administrator, I need APIs and interoperable systems that can provide accurate data records from different terminals and synchronize efficiently with the port’s system, ensuring that data processes are fully transparent and builds our stakeholders' trust.

**Ethical principles used**: Transparency, Trust"
33,System provides clear and transparent information without any ambiguity at remote terminals and at digital terminals and with people who check in passengers at the port.,transparency,trust,responsibility,"**Title**: Clear and Transparent Information for All Terminals

**Description**: As a user of the port system, I need clear and transparent information at both remote and digital terminals, as well as from personnel who check in passengers at the port, so that I can trust the information provided and ensure there is no ambiguity in my experience.

**Ethical principles used**: Transparency, Trust"
34,AI integrated into the system that can help identify data patterns for users with special needs and provide necessary information.,justice and equity,beneficence,dignity,"**Title**: Accessible AI for Users with Special Needs

**Description**: As a user with special needs, I want the AI integrated into the system to identify data patterns specific to my requirements and provide relevant information, ensuring equitable access and beneficial support tailored to my unique needs.

**Ethical principles used**: Justice and fairness, Beneficence"
35,A clear and well defined HCI system where voice can be used to communicate data consent in line with relevant regulations.,privacy,transparency,justice and equity,"**Title**: Voice-Based Consent for Data Sharing

**Description**: As a user, I want a clear and well-defined Human-Computer Interaction (HCI) system where I can use my voice to communicate data consent. The system must comply with relevant regulations and provide transparent information on how my data will be used, ensuring my privacy is protected.

**Ethical principles used**: Privacy, Transparency"
36,A centralized data management system with clearly outlined details on access rights and clear logs on users.,transparency,trust,privacy," **Title**: Centralized Data Management with Transparent Access and Logging

 **Description**: As a data management platform user, I want a centralized system with clearly defined access rights and comprehensive logging of user actions, so that I can trust the system to transparently manage and secure data access and usage.

 **Ethical principles used**: Transparency, Trust"
37,Booking information does not exclude anyone from the needed identification information and the booking application has the identification information as a mandatory field.,justice and equity,transparency,trust,"**Title**: Inclusive Booking Information Requirement

**Description**: As a user of the booking application, I want the identification information to be a mandatory field to ensure that no one is excluded from the required identification information, promoting fairness and transparency in the booking process.

**Ethical principles used**: Justice and fairness, Transparency"
38,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",justice and equity,trust,transparency,"**Title**: Ensure Equitable and Trustworthy Data Quality Testing 

**Description**: As a developer, I want to ensure the quality of the data by conducting thorough testing that includes checks for race, gender, and age, so that the variance between groups is not significant. Additionally, I want to conduct real-time testing in real-world contexts before launch to guarantee the fairness and reliability of the system.

**Ethical principles used**: Justice and fairness, Trust"
39,"I while shopping in the termina I lost track of time and I need to locate my self in the terminal. Mobile app or feature in terminal enduser app for navigation. System has Opt-in policy. Treminal has tracking points, sensors or QR code to provide tracing of the users movements and provide indor navigation to desired points.",freedom and autonomy,beneficence,privacy,"**Title**: Ethical Indoor Navigation Assistance in Terminals

**Description**: As a terminal user, I want an indoor navigation feature in the terminal’s mobile application or dedicated feature, which I can opt into, to help me locate myself and navigate effectively within the terminal without losing my autonomy. This system will use tracking points, sensors, or QR codes to provide accurate indoor navigation while ensuring that my movements are traced ethically and for the sole purpose of beneficence.

**Ethical principles used**: freedom and autonomy, beneficence"
40,When auditing is in process system need to provide detailed documentation in every level of system architecture. Also 3rd party components needs to be documented or at least links to those systems documentation needs to Available.,transparency,responsibility,trust,"**Title**: Comprehensive Documentation for Auditing Processes

**Description**: As a user, I need the system to provide detailed documentation at every level of the system architecture during auditing processes. Additionally, the system should document all third-party components or provide links to their documentation to ensure that all elements are transparent and accountable.

**Ethical principles used**: Transparency, Responsibility"
41,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",transparency,responsibility,trust,"**Title**: Ensure Detailed Process Documentation and Specifications for New Services

**Description**: As a user, I want the system to provide comprehensive process documentation and specifications when a new service joins the system. This documentation should include acceptable actions, such as restrictions on data usage, bandwidth, and the number of API queries, ensuring clarity and accountability.

**Ethical principles used**: Transparency, Responsibility"
42,System needs to provide user friendly and short description of the traceability features of the service and also provide instructions to take acting to access traceability. System needs also be able to end user notifications on traceability if user wishes,transparency,freedom and autonomy,privacy,"**Title**: Providing Transparent and Accessible Traceability Features 

**Description**: As an end user, I want to have clear, concise, and user-friendly descriptions of the traceability features of the service. I also want straightforward instructions on how to access these traceability features, and I wish to receive notifications on traceability if I opt-in. This will ensure that I can easily understand and utilize the traceability features, while having the autonomy to choose whether or not I receive notifications.

**Ethical principles used**: Transparency, Freedom and Autonomy"
43,Smart terminal system need to have API for BI tool so that the service provider can track the service usage.,transparency,responsibility,dignity,"**Title**: Transparent and Responsible API Integration for Service Tracking

**Description**: As a service provider, I need the smart terminal system to have an API for the BI tool that allows transparent tracking of service usage. This API should provide clear, understandable, and accurate data, ensuring that the service usage metrics are fully accountable. This will help maintain the responsibility of tracking and reporting, promoting trust and integrity in service monitoring.

**Ethical principles used**: Transparency, Responsibility"
44,System should create explicit action log of its actions. The logs should be accessible for Designated personnel and understandable or reliably interpretable for government or other officials who require the logs for a legitimate reason.,transparency,responsibility,trust,"**Title**: System Action Logging and Accessibility 

**Description**: As a designated personnel member, I want the system to create an explicit and understandable log of its actions, so that the logs can be accessed and reliably interpreted by government officials or other authorized individuals who require them for legitimate reasons. This will ensure that the system operates with transparency and allows for accountability and responsibility.

**Ethical principles used**: Transparency, Responsibility"
45,Systems identifies users with special need and  has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,beneficence,justice and equity,transparency,"**Title**: Assistive Technology for Users with Special Needs

**Description**: As a terminal service provider, I want the system to identify users with special needs and provide features to notify staff of their required assistance. Additionally, the system should be capable of tracking assistive devices within the terminal to ensure they are readily available and accessible to those in need. This not only ensures equitable access but actively strives to improve the experience and well-being of users with special needs, promoting fairness and societal benefit.

**Ethical principles used**: Beneficence, Justice and Fairness"
46,AI system needs to have a function to generate an explanation for its actions if requested by a system administrator with rights to access the System.,transparency,responsibility,trust,"**Title**: Explanation Generation for AI Actions

**Description**: As a system administrator with the appropriate rights, I want the AI system to have a function that generates a clear and understandable explanation for its actions upon request. This enables me to ensure responsible use and maintain transparency of the AI system's decision-making process.

**Ethical principles used**: Transparency, Responsibility"
47,Function level documentation needs to be in Place.,transparency,trust,responsibility,"**Title**: Ensuring Comprehensive Function-Level Documentation

**Description**: As a system developer, I want to provide detailed function-level documentation to ensure that all stakeholders can understand and verify how the system functions, thereby fostering transparency and building trust in the system's reliability and integrity.

**Ethical principles used**: Transparency, Trust"
48,"System needs to be tested with given number of versatile use cases and not only obvious use cases with acceptable results. Also, those cases that would be possible but not testes should be clary stated.",trust,transparency,responsibility,"**Title**: Comprehensive and Transparent Testing of AI Systems

**Description**: As an ethical AI developer, I want to ensure that the AI system is rigorously tested with a diverse set of use cases, including less obvious scenarios, to deliver reliable and trustworthy results. Additionally, I will clearly document and communicate the use cases that were possible but not tested to maintain transparency and trust with stakeholders.

**Ethical principles used**: Trust, Transparency"
49,"When planning my budget for freighting my  goods, i would like clear information on the different pricing options (aggregated prices) maybe in an app, sites or displayboards at the terminal to help me plan my budget effectively.",transparency,freedom and autonomy,beneficence,"**Title**: Provide Clear and Accessible Pricing Information for Freight Planning 

**Description**: As a user planning my freight budget, I want clear and easily accessible information on the different pricing options (aggregated prices) available via an app, website, or display boards at the terminal. This will empower me to make informed decisions and plan my budget effectively.

**Ethical principles used**: Transparency, Freedom and Autonomy"
50,clear and well defined pricing criteria such as pricing analysis for customers on the system.,transparency,trust,justice and equity,"**Title**: Transparent and Trustworthy Pricing Criteria

**Description**: As a customer, I want the pricing criteria to be clear and well-defined, including detailed pricing analysis available on the system, so that I can trust the fairness and transparency of the costs associated with the products and services.

**Ethical principles used**: Transparency, Trust"
51,"When making inquiries as a customer, are there  pointers to say you are communicating with a virtual assistant and is there provision for a human assistant where possible?",transparency,freedom and autonomy,dignity,"**Title**: Transparent Identification of Virtual Assistants

**Description**: As a customer, I want to be clearly informed when I am communicating with a virtual assistant and have the option to request a human assistant where possible. This ensures that I am aware of whom I am interacting with and have the autonomy to choose a human assistant if needed.

**Ethical principles used**: Transparency, Freedom and Autonomy"
52,When asked system documentation need to have description on what kind of data and from where was used to teach the system. Data set with out clear description should not be used.,transparency,responsibility,justice and equity,"**Title**: Clear Documentation of Data Provenance

**Description**: As a user, I need the system documentation to include detailed descriptions of the types of data used and their sources, ensuring that datasets without clear descriptions are not utilized, so that I can understand the origins and nature of the data that taught the system.

**Ethical principles used**: Transparency, Responsibility"
53,In service critical or human relating features only explainable AI/ML solutions are used. When requested the system can provide reasoning behind given result.,transparency,trust,responsibility,"**Title**: Ensure Explainable AI/ML Solutions for Service-Critical or Human-Related Features

**Description**: As a user, I want the AI/ML solutions used in service-critical or human-related features to be explainable, so that I can understand the reasoning behind the generated results whenever requested. This will foster transparency and build trust in the system.

**Ethical principles used**: Transparency, Trust"
54,"When prompted by passengers, the system should be able to provide information requested, eg customer asking for summary on a trip should be able to get one from the system.",transparency,freedom and autonomy,trust,"**Title**: Provide Transparent and Accessible Trip Information

**Description**: As a passenger, I want the system to provide clear and detailed information about my trip when requested so that I can fully understand my journey and make informed decisions about my travel.

**Ethical principles used**: Transparency, Freedom and Autonomy"
55,"Before implementation, there should be a way to verify that the system is following the best practices and aligned with required legal Standards.",responsibility,trust,transparency,"**Title**: Verification of System Compliance with Best Practices and Legal Standards

**Description**: As a responsible engineer, I want to ensure that before implementing the system, there is a robust verification process in place to validate that the system adheres to best practices and legal standards, so that stakeholders can trust the system's integrity and compliance.

**Ethical principles used**: Responsibility, Trust"
56,A detailed document explaining the extent of the system's data use should be prepared and available to customers upon request.,transparency,privacy,trust,"**Title**: Provide Transparent Data Use Documentation

**Description**: As a customer, I want to have access to a detailed document explaining the extent of the system's data use, so that I can understand how my personal information is being utilized and ensure my privacy is respected.

**Ethical principles used**: Transparency, Privacy"
57,The user is offered an easy to read statement of data privacy policies excercised with the terminal services for the services she is using (off the app) . She can opt in and out of data collection not necessary for my need of services.,transparency,freedom and autonomy,privacy,"**Title**: User Consent and Clear Data Privacy Policies  

**Description**: As a user, I want to be presented with an easy-to-read statement of the data privacy policies exercised with the terminal services I am using. Additionally, I want the ability to opt in and out of data collection that is not necessary for my use of the services, ensuring that my autonomy and preferences are respected.  

**Ethical principles used**: Transparency, Freedom and Autonomy"
58,System provides Data collection description and  Data restrictions. Relevant contact information. Way to notify errors,transparency,responsibility,privacy,"**Title**: Comprehensive Data Handling and Error Notification

**Description**: 
As a user, I want the system to clearly describe the data collection methods, data usage restrictions, and provide relevant contact information, so that I can fully understand and trust how my data is being handled. Additionally, I want the system to offer a straightforward way to report any errors or issues encountered, ensuring accountability and maintaining transparency.

**Ethical principles used**: Transparency, Responsibility"
59,"Clear security communication to passengers who intend to use the terminal services, about what data is collected and how it is used.",transparency,privacy,trust,"**Title**: Transparent and Clear Security Communication to Passengers

**Description**: As a passenger intending to use the terminal services, I want to receive clear and transparent communication about what data is collected from me and how it will be used, so that I can make informed decisions about my privacy and feel secure.

**Ethical principles used**: Transparency, Privacy"
60,Video recordings and such unanonymized identifying data are only available to few certified people,privacy,non-maleficence,trust,"**Title**: Secure Access to Unanonymized Identifying Data

**Description**: As a system administrator, I want video recordings and other unanonymized identifying data to be accessible only to a select group of certified individuals, ensuring privacy and the prevention of potential harm.

**Ethical principles used**: privacy, non-maleficence"
61,"A register of personal data processing activities and their justification (basis for processing) is created, all involved parties are identified and this register is maintained and made available for needing parties.",responsibility,privacy,transparency,"**Title**: Data Processing Register for Personal Data

**Description**: As a data controller, I want to create and maintain a register of personal data processing activities, including their justification (basis for processing) and identification of all involved parties, so that this register can be available for authorized parties to ensure accountability and protect users' privacy.

**Ethical principles used**: Responsibility, Privacy"
62,"The data privacy notice is made available to the passenger (via the app she is using), which provides the purposes the personal data is used For.",transparency,privacy,justice and equity,"**Title**: Provide Clear Data Privacy Notice in the App

**Description**: As a passenger using the app, I want to have access to a clear and comprehensive data privacy notice that specifies the purposes for which my personal data is being used, so I can make informed decisions about my privacy.

**Ethical principles used**: Transparency, Privacy"
63,Use case coordinator has detailed plan of the  systems and components contributing to the smart terminal system and also disclosure from those parties if they need GDPR clearances.,responsibility,trust,privacy,"**Title**: Ensure Comprehensive System Planning and GDPR Compliance for Smart Terminal

**Description**: As a Use Case Coordinator, I want to have a detailed plan of the systems and components contributing to the smart terminal system, along with disclosures from all involved parties regarding the need for GDPR clearances, to ensure accountability, maintain integrity in the development process, and build trust with stakeholders and users by protecting data responsibly.

**Ethical principles used**: Responsibility, Trust"
64,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",freedom and autonomy,trust,privacy,"**Title**: User Data Control and Transparency for Value-Added Services

**Description**: As a user, I want the application to clearly identify which data processing activities are necessary for each basic or value-added service I am considering, so I can opt in or out based on the data being processed. Additionally, I want the application to process my selected data according to my rights (e.g., anonymize, delete, or make available for transfer/download).

**Ethical principles used**: Freedom and Autonomy, Trust"
65,Data statements need to be available and also  descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,transparency,privacy,freedom and autonomy,"**Title**: Ensure Clear Communication and Data Transparency

**Description**: As a user, I want to have access to clear data statements and descriptions of optional services, including instructions on how to opt-out of these services. Additionally, I want transparent information about which parts of the system are used by harbor officials and cannot be opted out of, so that I am fully informed about my data usage and my privacy rights.

**Ethical principles used**: Transparency, Privacy"
66,System architecture needs to be draw and it needs to be shareable with relevant stakeholders. Possible security issues relating to architecture information sharing needs to be Mitigated.,transparency,responsibility,non-maleficence,"**Title**: Develop and Share Secure System Architecture

**Description**: As a developer, I need to create a clear and understandable system architecture diagram and ensure it is shared with all relevant stakeholders in a secure manner. This includes implementing measures to mitigate any potential security issues that could arise from information sharing, in order to maintain transparency and uphold our responsibility towards protecting sensitive data.

**Ethical principles used**: Transparency, Responsibility"
